Date;Time;Location;Operator;Starting point;Route;Type;Aboard;Fatalities;Summary;Loc_Latitude;Loc_Longitude;Start_Latitude;Start_Longitude;Temp_Max;Temp_Min;Precipitation;Wind_Max;Cloud_Cover;Pressure;General_Conditions
1940-01-15;;Denpasar, Indonesia;KNILM;;;Lockheed 14 Super Electra;9;8;;-8,6524973;115,2191175;;;27;24,3;16,2;18,6;98;1002,8;"Heavy Rain; Overcast"
1940-01-03;;Gulf of Oman;Imperial Airways;Jask to Sharjah;Jask to Sharjah;Handley Page HP-42;8;8;Crashed in the Persian Gulf while en route with out a trace. The aircraft was named 'Hannibal.';24,2138029;58,9845823;25,2691848;55,6934811;22,9;22,4;0;9,8;7;1019,7;Clear
1940-04-22;;Near Loch Lomond, Scotland;British Overseas Airways;Perth, Scotland ;Perth, Scotland - London, England;Lockheed 14 Super Electra;3;3;;56,1561963;-4,6562105;56,3958757;-3,4303103;11;4,2;12,8;28,3;99;1013,3;"Heavy Rain; Overcast"
1940-02-06;;El Segundo, California;Douglas Aircraft Company;Test flight;Test flight;Douglas DC-3;5;5;Crashed and burned during a government test flight;33,917028;-118,4156337;35,0593227;-118,1528449;16,2;9,4;0;12,7;40;1017,1;Partly Cloudy
1940-06-14;14:00:00;Off Prangli Island, Gulf of Finland, Estonia;Aero O-Y;Tallinn, Estonia ;Tallinn, Estonia - Helsinki, Finland;Junkers JU-52/3mge;9;9;The plane was en route when it was shot down by two Soviet Tupolev SB-2 bombers. The aircraft  crashed 2-3 nm offshore of Prangli Island near Keri Lighthouse. The aircraft was named Kaleva.;59,6276169;25,0119035;59,4372419;24,7572802;14,2;6,7;0;12,1;48;1018,2;Partly Cloudy
1940-06-20;;Near Ouistreham, France;Air France;;;Dewoitine D-338;1;1;Inadvertently shot down by French anti-aircraft fire.;49,2761243;-0,258479;;;22,6;13,7;0;24,3;12;1018,1;Clear
1940-07-07;;Gulf of Tonkin;Air France;;;Dewoitine D-338;;;Shot down by a Japanese military fighter.;19,5000383;107,364437;;;30;29,2;0;29,6;78;997,9;Mostly Cloudy
1940-08-13;10:15:00;Near Canberra, Australia;Military - Royal Australian Air Force;Melbourne ;Melbourne - Canberra;Lockheed Hudson A16-97;10;10;The plane was seen circling Canberra Aerodrome after which it headed west to make the final approach for landing. The aircraft momentarily disappeared behind one of the hills that surround the airport, then reappeared. There was the sound of engines being gunned, then the aircraft disappeared again. An explosion and sight  of a large plume of black smoke followed. All on board the Hudson were killed including several high ranking Australian military leaders. A witness later said the aircraft appeared to drop its left wing and then dip its nose steeply, classisymptoms of a stall, too close to the ground for recovery.;-35,2975906;149,1012676;-37,8142454;144,9631732;13,3;5,9;0,4;17,6;61;953,1;"Rain; Mostly Cloudy"
1940-08-23;;Cluj, Romania;LARES;;;Douglas DC-3;18;14;Crashed into a mountainous area during a hail storm.;46,769379;23,5899542;;;17,2;8,7;1,1;19,4;53;966,8;"Rain; Mostly Cloudy"
1940-08-31;14:41:00;Near Lovettsville, Virginia;Pennsylvania Central Airlines;Washington D.C. ;Washington D.C. - Detroit;Douglas DC-3;25;25;The aircraft was flying through a thunderstorm in turbulence when the it nosed over and plunged to earth near Short Hill Mountain.  Disabling of the pilots by a severe lightning discharge in the immediate neighborhood of the airplane, with resulting loss of control. With limited accident investigation tools at the time, the most likely cause was the plane flying into windshear.  U.S. Senator Ernest Lundeen from Minnesota killed.;39,2747722;-77,6393091;38,8950368;-77,0365427;25,5;20,9;26,6;12,3;97;999,9;"Heavy Rain; Overcast"
1940-10-29;;Near Changyi, China;China National Aviation Corporation;Chungking ;Chungking - Kunming;Douglas DC-2;14;9;Shot down by Japanese military fighters. The plane ran into 5 Japanese fighters and made an emergency landing at a remote field only to be machine-gunned while trying to escape.;36,8394346;119,4013261;30,05518;107,8748712;21,1;10,7;0;9,4;36;1020,1;Partly Cloudy
1940-10-29;;Berlin, Germany;Deutsche Lufthansa;;;Douglas DC-3;15;2;Weather related.;52,5173885;13,3951309;;;1,4;-2,8;0;19,1;58;1020,2;Mostly Cloudy
1940-04-11;04:42:00;Near Centerville, Utah;United Air Lines;Oakland ;Oakland - Salt Lake City;Douglas DC-3;10;10;The aircraft crashed into Bountiful Peak in the Wasatch Mountains, during a snowstorm, 3 nm NE of Centerville. The failure of the communications operators at Tintic, Plymouth, and Salt Lake City, Utah, whose duty it was to monitor the range, to detect its malfunctioning and immediately notify those concerned and the failure of the pilot to follow to the fullest extent established radio range technique in accordance with the requirements of the procedure established by United and approved by the Civil Aeronautics Administration.;40,9180005;-111,8721601;37,8044557;-122,271356;8,6;-0,2;0;13,3;34;875,2;Partly Cloudy
1940-08-11;;Brauna, Germany;Deutsche Lufthansa;;;Junkers JU-90;29;29;Icing.;51,2818107;14,0379958;;;22,5;13,2;0,3;24,9;41;994,5;"Rain; Partly Cloudy"
1940-09-11;;Rio de Janeiro, Brazil;;Rio de Janeiro ;Rio de Janeiro - Sao Paulo;;18;18;Midair collisioin with a private plane.;-22,9110137;-43,2093727;-22,9110137;-43,2093727;26,8;18,5;0;18,1;18;1012,5;Clear
1940-11-27;;Mediterranean Sea;Air France;;;Farman F-224;6;6;Shot down by Italian aircraft.;35,0000035;19,9999957;;;15,9;15,1;3,2;16,6;64;1024,2;"Rain; Mostly Cloudy"
1940-04-12;17:48:00;Chicago, Illinois;United Air Lines;New York City ;New York City - Chicago;Douglas DC-3A;16;10;The aircraft crashed while attempting to land at Chicago. The failure of the pilot to exercise that degree of caution and skill required to avert a stall while approaching for a landing on the short northwest runway. A substantial contributing factor to the accident was the error in judgment of the pilot in choosing that short runway for his landing. An accumulation of ice on the wings may have increased the stalling speed of the plane.;41,8755616;-87,6244212;40,7127281;-74,0060152;0,2;-7,6;0,1;23,8;59;1001,5;"Snow; Rain; Mostly Cloudy"
1941-01-15;;Off South Africa;LATI;;;Savoia-Marchetti SM-75;10;10;;-28,8166236;24,991639;;;31,3;17,6;0;27,4;13;887,3;Clear
1941-01-18;;Near Nagy-Varad, Hungary;Malert Airlines;;;Junkers JU-52/3m;12;12;;47,0330255;21,9581786;;;-6,4;-11,6;0,5;13,5;93;992,1;"Snow; Fog; Rain; Overcast"
1941-01-20;;Near Kian, China;China National Aviation Corporation;;;Ford 5-AT Tri-Motor;6;5;Crashed into mountains during a thunderstorm;26,193218;118,2208721;;;15;3,5;0;8,1;13;1003,5;Clear
1941-01-23;04:13:00;Near Robertson, Missouri;Trans Continental and Western Air;Kansas City, MO ;Kansas City, MO - New York;Douglas DC-3-3;13;2;Shortly after passing over the west boundary of the airport, the pilot started a left turn. While in the turn, the plane contracted trees 113 feet above the level of the airport.  Full power was applied to the engines in an attempt to pull up but other trees were struck and the pilot lost control. The aircraft crashed to the ground at a point approximately one-fourth of a mile southwest of the airport boundary. The action of the pilot in attempting a landing under adverse weather conditions in disregard of the minimums prescribed by the Civil Aeronautics Administration and in maneuvering for such a landing at a dangerously low altitude.;38,7642176;-90,3820603;39,100105;-94,5781416;1,6;-1,2;0,5;14,6;100;1000,5;"Snow; Fog; Rain; Overcast"
1941-06-02;02:00:00;Armstrong, ON, Canada;Trans Canada Air Lines;;;Lockheed 14-H2 Super Electra;12;12;The plane crashed after the right wing struck a tree as the pilot was attempting to land. Struck several other trees and landed inverted in a swamp.;50,302131;-89,0373698;;;18,3;5,9;0;12,1;10;983;Clear
1941-02-26;11:50:00;Atlanta, Georgia;Eastern Air Lines;New York City ;New York City -  Washington D.C. - Atlanta - Brownsville;Douglas DC-3;16;9;The aircraft crashed into a hill in pine woods, near Chandler Field, while attempting to make an instrument landing approach in rain and fog. The failure of the captain in charge of the flight to exercise the proper degree of fare by not checking his altimeters to determine whether both were correctly set and properly functioning before commencing his landing approach. A substantial contributing factor was the absence of an established uniform cockpit procedure on Eastern Air Lines by which both the captain and co-pilot are required to make a complete check of the controls and instruments during landing operations. Captain Edward Rickenbacker, President of Eastern Air Lines, survived the crash.;33,7544657;-84,3898151;40,7127281;-74,0060152;11,8;2;2,1;10,9;67;978,4;"Rain; Mostly Cloudy"
1941-01-03;;Trontheim, Norway;Deutsche Lufthansa;;;Junkers JU-52/3m;12;3;The seaplane crashed while attemping to land.;61,1529386;8,7876653;;;-17;-27,8;0,2;8,8;33;959;"Snow; Rain; Partly Cloudy"
